page_total_likes,category,post_month,post_hour,paid,total_interactions_log,type_Photo,type_Status,type_Video,post_weekday_2,post_weekday_3,post_weekday_4,post_weekday_5,post_weekday_6,post_weekday_7,time_of_day_morning,time_of_day_afternoon,time_of_day_evening
139441,2,12,3,0.0,4.61512051684126,1,0,0,0,0,1,0,0,0,0,0,0
139441,2,12,10,0.0,5.10594547390058,0,1,0,0,1,0,0,0,0,1,0,0
139441,3,12,3,0.0,4.394449154672439,1,0,0,0,1,0,0,0,0,0,0,0
139441,2,12,10,1.0,7.48324441607385,1,0,0,1,0,0,0,0,0,1,0,0
139441,2,12,3,0.0,5.976350909297934,1,0,0,1,0,0,0,0,0,0,0,0
139441,2,12,9,0.0,5.231108616854587,0,1,0,0,0,0,0,0,0,1,0,0
139441,3,12,3,1.0,5.634789603169249,1,0,0,0,0,0,0,0,0,0,0,0
139441,3,12,9,1.0,5.8289456176102075,1,0,0,0,0,0,0,0,1,1,0,0
139441,2,12,3,0.0,5.262690188904886,0,1,0,0,0,0,0,0,1,0,0,0
139441,3,12,10,0.0,4.962844630259907,1,0,0,0,0,0,0,1,0,1,0,0
139441,2,12,10,0.0,5.53338948872752,0,1,0,0,0,0,1,0,0,1,0,0
139441,2,12,10,0.0,4.672828834461906,1,0,0,0,0,0,1,0,0,1,0,0
139441,2,12,10,0.0,4.653960350157523,1,0,0,0,0,0,1,0,0,1,0,0
139441,2,12,3,0.0,5.030437921392435,1,0,0,0,0,0,1,0,0,0,0,0
138414,2,12,5,1.0,6.396929655216146,1,0,0,0,0,1,0,0,0,0,0,0
138414,2,12,10,0.0,4.6913478822291435,0,1,0,0,1,0,0,0,0,1,0,0
138414,3,12,3,0.0,4.007333185232471,1,0,0,0,1,0,0,0,0,0,0,0
138414,1,12,12,1.0,6.570882962339584,1,0,0,1,0,0,0,0,0,0,1,0
138414,3,12,3,0.0,4.330733340286331,0,1,0,1,0,0,0,0,0,0,0,0
138414,3,12,11,0.0,3.7612001156935624,1,0,0,0,0,0,0,0,0,1,0,0
138414,2,12,3,0.0,4.406719247264253,1,0,0,0,0,0,0,0,0,0,0,0
138414,1,12,10,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0
138414,1,12,10,0.0,2.9444389791664403,0,0,0,0,0,0,0,0,1,1,0,0
138414,3,12,3,0.0,4.574710978503383,1,0,0,0,0,0,0,0,1,0,0,0
138414,2,12,10,0.0,4.804021044733257,0,1,0,0,0,0,0,1,0,1,0,0
138458,2,12,3,0.0,4.672828834461906,0,1,0,0,0,0,0,1,0,0,0,0
